n_patches,H,habitat_loss,lambda_m,cohesion,cli
274,0.1,0.546875,2.6663788832648168,0.882159688512144,4.462313505572877
265,0.1,0.55706787109375,2.684732554462551,0.8966687754952437,5.157953631693861
235,0.1,0.526123046875,2.366301371881832,0.9245774391137007,7.068730061412167
269,0.1,0.55487060546875,2.5012145590005934,0.9147647653018222,6.737236109952799
219,0.1,0.5245361328125,2.0699463660477493,0.9123689517502576,6.0406069771691575
237,0.1,0.527587890625,2.5088422358785265,0.9168219892871906,6.567964922994093
270,0.1,0.57232666015625,2.5732022052940873,0.873332313398879,4.06150495414326
268,0.1,0.54901123046875,2.3725429775388776,0.8770135340090106,4.334930554962349
261,0.1,0.53167724609375,2.788849115624923,0.9240725027871207,6.7556034270363785
247,0.1,0.5257568359375,2.54339181249133,0.9222138799182632,7.001567125003524
251,0.1,0.53997802734375,2.8723900453386695,0.9146749783168823,6.664995105447365
266,0.1,0.5675048828125,2.4693599291305715,0.8890681541675322,4.617749007615265
253,0.1,0.50811767578125,2.889099605727875,0.9283556160784141,7.279128086653048
258,0.1,0.52191162109375,2.931350402264458,0.9333305986947843,8.164054200979209
231,0.1,0.52435302734375,2.4912877222558736,0.916011085890685,6.639700512281921
242,0.1,0.525146484375,3.093921927431159,0.9355217185596836,8.681718592993075
297,0.1,0.5498046875,2.8420823479704715,0.8840596254045548,4.486027939320041
282,0.1,0.55120849609375,2.788647752949395,0.9106298344355487,6.4334562185627115
261,0.1,0.55322265625,2.5824937735641544,0.8881372536569305,4.716423523086858
270,0.1,0.544189453125,2.782760188235395,0.903363060622561,5.817693054585954
177,0.2,0.54266357421875,1.9641035326865286,0.9572043643689914,11.86524286202599
192,0.2,0.52191162109375,2.19040708692783,0.9470084470248875,9.905453032109785
219,0.2,0.5843505859375,2.6504251326639774,0.9007614207036516,5.653702059707917
204,0.2,0.5146484375,2.40573896543836,0.9536382328776254,10.87801481510625
209,0.2,0.5694580078125,2.2750051571780188,0.9127039866924143,5.877839747212042
198,0.2,0.57110595703125,1.8299171996054244,0.9091415986366257,5.71156139830306
226,0.2,0.52069091796875,2.2826741593488293,0.92461302320637,7.054275120191832
202,0.2,0.55499267578125,2.6632654830852487,0.9606370133178911,12.292624652451307
198,0.2,0.55450439453125,2.082306646798344,0.9352328821675853,8.79326354539779
